population,name,country,region,longitude,latitude
210700,Aberdeen,UK,Scotland,-2.083,57.150
1950000,Abidjan,Ivory Coast,,-3.867,5.333
859640,Accra,Ghana,,-0.200,5.550
1686300,Addis Abeba,Ethiopia,,39.133,9.200
176100,Aden,Yemen,,44.967,12.967
41200,Agrigento,IT,,13.600,37.283
101082,Albany,US,NY,-74.000,42.633
1507241,Algiers,DZ,,3.033,36.783
936300,Amman,Jordania,,35.983,31.983
696500,Amsterdam,NL,Noord-Holland,4.833,52.383
18463,Andorra,AD,,1.567,42.533
3485398,Los Angeles,US,CA,-118.333,34.017
479748,Antwerpen,BE,,4.383,51.233
885737,Athinai,GR,,23.783,37.983
1714355,Barcelona,ES,,2.167,41.367
6710000,Beijing,CN,,116.500,40.000
3461421,Berlin,DE,Berlin,13.383,52.517
134393,Bern,CH,,7.950,46.950
384733,Bilbao,ES,,-2.967,43.283
1013995,Birmingham,UK,England,-1.917,52.483
8243405,Bombay,IN,,72.917,19.000
296859,Bonn,DE,Nordrhein-Westfalen,7.10,50.73
574283,Boston,US,MA,-71.083,42.417
1567709,Brasilia,BR,,-48.000,-15.333
413861,Bristol,UK,England,-2.567,51.467
136920,Bruxelles,BE,,4.350,50.850
2922829,Buenos Aires,AR,,-58.500,-34.667
6052836,Cairo,EG,,31.217,30.017
3305006,Calcutta,IN,,88.500,22.533
636104,Calgary,CA,Alberta,-114.033,51.167
2783726,Chicago,US,IL,-87.750,41.833
505616,Cleveland,US,OH,-81.500,41.500
1006877,Dallas,US,TX,-96.833,32.833
4884234,Delhi,IN,,77.300,28.583
467610,Denver,US,CO,-104.983,39.717
601966,Dortmund,DE,Nordrhein-Westfalen,7.45,51.53
502749,Dublin,IE,,-6.250,53.350
433200,Edinburgh,UK,Scotland,-3.183,55.950
573982,Edmonton,CA,Alberta,-113.417,53.583
190700,Eindhoven,NL,,5.500,51.433
45000,Eisenach,DE,Thueringen,10.300,50.983
659803,Frankfurt/Main,DE,Hessen,8.68,50.10
83850,Frankfurt/Oder,DE,Brandenburg,14.53,52.33
233856,Gent,BE,,3.733,51.083
695630,Glasgow,UK,Scotland,-4.267,55.867
167800,Groningen,NL,,6.567,53.217
1704534,Hamburg,DE,Hamburg,10.00,53.55
2708,Hammerfest,NO,,23.667,70.667
139429,Heidelberg,DE,Baden-Wuerttemberg,8.70,49.42
490034,Helsinki,FI,,24.967,60.217
365272,Honolulu,US,HI,-157.833,21.417
9200000,Jakarta,ID,,106.817,-6.167
2587000,Kiew,RU,Ukraine,30.517,50.433
1479218,Kyoto,JP,,136.917,35.000
4456000,Leningrad,RU,,30.333,59.917
807167,Lisboa,PT,,-9.167,38.700
6574009,London,UK,England,-0.083,51.500
76130,Luxembourg,LU,,6.117,49.617
413095,Lyon,FR,,4.867,45.767
3102846,Madrid,ES,,-3.717,40.400
874436,Marseille,FR,,5.367,43.283
368383,Minneapolis,US,MI,-93.333,44.950
1015420,Montreal,CA,Quebec,-73.600,45.500
8769000,Moskwa,RU,,37.600,55.750
1255623,Muenchen,DE,Bayern,11.60,48.13
2116381,Nagoya,JP,,137.050,35.133
1204211,Napoli,IT,,14.267,40.850
7322564,New York,US,NY,-74.000,40.750
2636249,Osaka,JP,,135.467,34.683
452415,Oslo,NO,,10.750,59.950
300763,Ottawa,CA,Ontario,-75.683,45.433
2078900,Paris,FR,,2.333,48.167
114600,Rimini,IT,,12.517,44.050
5603388,Rio de Janeiro,BR,,-43.500,-23.000
2815457,Roma,IT,,12.500,41.933
576300,Rotterdam,NL,,4.500,51.917
723959,San Francisco,US,CA,-122.500,37.417
10063110,Sao Paolo,BR,,-46.583,-23.667
7220000,Shanghai,CN,,121.500,31.417
2685400,Singapore,SG,,103.833,1.333
1119152,Sofia,BG,,23.317,42.700
672187,Stockholm,SE,,18.000,59.333
8354615,Tokyo,JP,,139.750,35.717
1035565,Torino,IT,,7.700,45.083
612289,Toronto,CA,Ontario,-79.417,43.667
230700,Utrecht,NL,Utrecht,5.133,52.083
1651200,Warszawa,PL,,21.000,52.250
606900,Washington,US,DC,-77.000,39.000
2992926,Yokohama,JP,,149.667,35.500
697925,Zagreb,CR,,15.967,45.850
342861,Zuerich,CH,,8.533,47.367
223818,Bahia Bianca,AR,,-62.5,-38.6
200891,Liege,BE,,5.55,50.63
201500,Vitoria,BR,,-40.5,-20.5
841016,Campinas,BR,,-47.0,-22.8
1287623,Recife,BR,,-35,-8
